SMILES,MTase IC50 (micromolar),Delta Tm - SAH/nsp14 (degrees Celsius),Cell EC50 (micromolar)
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2ccccn2)n1C,1.54,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc(C3CC3)c2)n1C,0.825,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c2n1CCC2,0.457,3.6,
CC1CCN(S(=O)(=O)c2cc(C(=O)NCc3cnn4ccccc34)n3c2CCC3)CC1,1.92,,
CC1CCN(S(=O)(=O)c2cc(C(=O)NCc3ccccc3)n3c2CCC3)CC1,3.74,,
"COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2C[C@H](C)O[C@H](C)C2)c(C)n1C |a:20,23|",6.21,,
CCOc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)c1,0.0246,10.5,3.01
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCN(S(C)(=O)=O)CC2)c(C)n1C,125,,
Cc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)n1,3.88,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(CC#N)CC2)c(C)n1C,11.9,,
CCn1c(C(=O)NCc2cncnc2C)cc(S(=O)(=O)N2CCCCC2)c1C,52.9,,
COc1ccccc1CNCc1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,24.2,,
COc1ccccc1C(=O)NCc1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCn3c(nnc3C(F)(F)F)C2)c(C)n1C,125,,
CCn1c(C(=O)NCc2cncnc2C)cc(S(=O)(=O)N2CCC(C)CC2)c1C,0.989,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCOc3ccccc3C2)c(C)n1C,4.55,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCc3ccccc32)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)Nc2onc(C)c2C)c(C)n1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c2n1CCC2,0.0683,7.3,27.44
O=C(NCc1ccccc1)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c2n1CCC2,0.351,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCn3c(C)nnc3C2)c(C)n1C,125,,
Cc1ncncc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1C,125,,
Cc1ncncc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1C,0.0996,8.7,12.25
COc1ccccc1CNC(=O)c1c(S(=O)(=O)N2CCc3ccccc3C2)cn(C)c1C,125,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3c(cnn3C)C2)c(C)n1C,0.354,,
COCCn1c(C(=O)NCc2ccccc2C)cc(S(=O)(=O)N2CCc3ccccc3C2)c1C,0.196,,
Cc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1CCO,0.077,3.5,11.89
Cc1c(S(=O)(=O)N2CCC(C(F)F)CC2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.0588,8.7,4.91
Cc1c(S(=O)(=O)N2Cc3ccccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.00663,10.4,2.58
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N(C)C)n1C,0.626,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.00795,9.47,3.32
Cc1c(S(=O)(=O)N2CCc3ccc(C#N)cc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.00734,12.2,3.2
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(-c2nc3ccccc3[nH]2)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCOCC2)n1C,0.697,,
CNc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,1.76,,
COC1CCN(c2ncccc2CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)C1,0.108,8.7,12.16
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCCC2C)n1C,0.59,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCC(C)C2)n1C,0.0824,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.00412,10.9,3.29
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,0.136,,
COCCN(C)c1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,2.61,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCN(C)CC2)n1C,3.97,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CC3CNCC3C2)n1C,3.31,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CC3COCC3C2)n1C,0.317,,
COCCNc1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.563,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCCCC2)n1C,0.443,4.3,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CC3CCCC3C2)n1C,0.406,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCC(C)(O)CC2)n1C,0.734,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCC(C)(O)C2)n1C,0.231,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCN(C)C(=O)C2)n1C,3.11,,
CC(=O)N1CCN(c2ncccc2CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)CC1,1.27,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2Cc3ccccc3C2)n1C,0.0305,4.7,1.4
COC1CN(c2ncccc2CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)C1,0.22,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCNC(=O)C2)n1C,1.98,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cncnc2N2CCCC2)n1C,0.0211,11.1,2.01
CCN(CC)c1ncccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,1.05,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CC3CC3C2)n1C,0.125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2S(C)(=O)=O)n1C,0.368,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCC2)n1C,0.103,7.45,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2OC2CCOC2)n1C,0.264,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2-n2cccn2)n1C,0.173,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2C2CCCC2)n1C,0.686,,
COc1ccnc(N2CCCC2)c1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,4.13,,
Cc1ccnc(N2CCCC2)c1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.688,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2nccnc2N2CCCC2)n1C,0.131,7.3,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCc3ccccc32)n1C,0.116,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCCS2(=O)=O)n1C,26.4,,
Cc1c(S(=O)(=O)N2CCc3cnccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.0112,10.5,3.04
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCC2CCCCN2c2ccccc2)n1C,125,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cnccc2N2CCCC2)n1C,0.404,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCCC2=O)n1C,0.945,3.8,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCCC2(C)C)n1C,1.53,,
Cc1c(S(=O)(=O)N2Cc3ccncc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.0669,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2CCC3(CC3)C2)n1C,0.133,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc(=O)n2-c2ccccc2)n1C,23.1,,
Cc1c(S(=O)(=O)N2Cc3ccccc3C2)cc(C(=O)NCc2cccc(N3CCCC3)n2)n1C,0.118,,
Cc1c(S(=O)(=O)N2Cc3cncnc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,1.98,,
Cc1c(S(=O)(=O)N2Cc3cccnc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.818,,
COCc1cccc(CNC(=O)c2cc(S(=O)(=O)N3Cc4ccccc4C3)c(C)n2C)c1,0.164,,
CCOc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCc4cnccc4C3)c(C)n2C)c1,0.0421,,3.8
Cc1c(S(=O)(=O)N2Cc3ccccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1CCO,0.0164,5.4,4.1
Cc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1CC(N)=O,0.31,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cccc(OC3CC3)c2)n1C,0.0668,,
Cc1c(S(=O)(=O)N2Cc3ccccc3C2)cc(C(=O)NCc2cccc(OC3CC3)c2)n1C,0.0855,,
CCOc1cc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)ccn1,0.295,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(C(=O)NCc2cccc(OC(C)C)c2)n1C,0.0992,,
Cc1c(S(=O)(=O)N2Cc3ccccc3C2)cc(C(=O)NCc2cccc(OC3CCCCC3)c2)n1C,0.217,,
CCOc1cccc(C(C)NC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)c1,0.099,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2CN2CCCC2)n1C,15.3,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2CN(C)C)n1C,4.76,,
Cc1c(S(=O)(=O)N2Cc3ccccc3C2)cc(C(=O)NCc2ccnc3c2OCCN3C)n1C,0.0578,10.2,2.2
Cc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1CC(C)O,0.482,,
Cc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCc3ccccc3C2)c(C)n1CCN,0.367,,
CCOc1cccc(CNC(=O)c2cc(S(=O)(=O)N3Cc4ccccc4C3)c(C)n2C)c1,0.0185,9.9,4
CCCOc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)c1,0.0264,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.00145,11.9,0.6
Cc1c(S(=O)(=O)N2CCC(C#N)CC2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,1.44,,
Cc1c(S(=O)(=O)N2Cc3nccnc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,17.5,,
CCOc1ccnc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)n1,0.682,,
CCOc1cc(CNC(=O)c2cc(S(=O)(=O)N3CCc4ccccc4C3)c(C)n2C)ncn1,0.393,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccc(OC3CCCC3)c2)n1C,0.0803,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccc3cnn(C)c23)n1C,0.00542,11.3,0.9
Cc1c(S(=O)(=O)N2CCN3CCOCC3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,125,,
Cc1nc2n(n1)CCN(S(=O)(=O)c1cc(C(=O)NCc3cccnc3N3CCCC3)n(C)c1C)C2,125,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NC2CCCc3ncccc32)n1C,0.8,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NC2CCCc3ccccc32)n1C,0.612,,
O=C(NCc1cccnc1N1CCCC1)c1cc(S(=O)(=O)N2CCn3nccc3C2)c2n1CCC2,0.137,,
CN1CCn2c(C(=O)NCc3cccnc3N3CCCC3)cc(S(=O)(=O)N3CCc4ccccc4C3)c2C1,4.73,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2C(=O)N2CCCC2)n1C,52.4,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccnnc2N2CCCC2)n1C,0.342,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)C2)n1C,0.0171,9.7,2.6
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,0.0214,9.5,3.6
"Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2C[C@H](F)[C@@H](F)C2)n1C |a:29,31|",0.0221,,
Cc1c(S(=O)(=O)N2Cc3ccccc3C2)cc(-c2nnc(-c3ccccc3)o2)n1C,125,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NC2CCc3ncccc32)n1C,0.374,,
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc2n1CCN(Cc1ccccc1)C2=O,125,,
CC(=O)NCCn1c(C(=O)NCc2ccccc2C)cc(S(=O)(=O)N2CCc3ccccc3C2)c1C,0.0753,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc3c2CCO3)n1C,0.0725,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc3c2OCO3)n1C,0.0866,6.9,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccnc2N2Cc3cncnc3C2)n1C,0.0195,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2C)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,46.7,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2c(F)ccc3occc23)n1C,0.0119,10.1,
Cc1c(S(=O)(=O)N2CCCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,4.63,,
Cc1c(S(=O)(=O)N2Cc3ccnn3CC2C)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.845,,
O=C(NCc1cccnc1N1CCCC1)c1cc(S(=O)(=O)N2Cc3ccccc3C2)c2n1CCC2,0.0488,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C(F)F,0.101,,
Cc1c(S(=O)(=O)N2CCn3c(cccc3=O)C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,0.522,,
Cc1sc(C(=O)NCc2cccnc2N2CCCC2)cc1S(=O)(=O)N1CCn2cccc2C1,0.0118,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2ccccc2-n2cccn2)n1C,0.123,,
C=CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCn3nccc3C2)c(C)n1CC=C,0.175,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc3c2OCC3)n1C,0.254,,
CCOc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCn4nccc4C3)c(C)s2)c1,0.0537,,
Cc1sc(C(=O)NCc2cccnc2N2CCCC2)cc1S(=O)(=O)N1CCn2nccc2C1,0.0957,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1CC(F)F,0.0357,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2c(F)ccc3c2CCO3)n1C,0.00202,12.8,0.3
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1CC(F)(F)F,0.0432,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1CCO,0.00156,12,0.38
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccc(OC(C)(C)C)c2)n1C,0.203,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccc3c2cnn3C)n1C,0.0461,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCC(C)(O)C2)n1C,0.00206,12,1.6
"Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2C[C@H](F)[C@H](F)C2)n1C |a:29,31|",0.00139,11,3.1
Cc1cnc(N2CCCC2)c(CNC(=O)c2cc(S(=O)(=O)N3CCn4cccc4C3)c(C)n2C)c1,0.368,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccc3c2CN(C)CC3)n1C,0.108,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,0.00246,11,3.2
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)C2)n1C,0.000819,12.1,0.374
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,0.00165,12.1,1.3
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2c(F)ccnc2N2CCCC2)n1C,0.000431,14.17,0.27
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCC(C(=O)O)C2)n1C,0.000241,16.8,7.1
"Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2C[C@H](O)[C@H](F)C2)n1C |a:29,31|",0.00209,11.4,1.9
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CC(F)C2)n1C,0.00218,11.3,1.5
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CC(F)(F)C2)n1C,0.00226,12.7,1.7
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cncnc2N2CCCC2)n1C,0.00131,13,3.1
Cc1sc(S(=O)(=O)N2CCn3cccc3C2)cc1C(=O)NCc1cccnc1N1CCCC1,0.0421,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2C3CCC2CC3)n1C,0.0422,,
"Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2C[C@H](F)[C@@H](F)C2)n1C |a:29,31|",0.00298,,
"Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2C[C@H](O)[C@@H](F)C2)n1C |a:29,31|",0.00295,,
COC1CN(c2ncccc2CNC(=O)c2cc(S(=O)(=O)N3CCn4cccc4C3)c(C)n2C)C1,0.00481,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2C(=O)O)n1C,0.00154,13.5,>10
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccc(C(=O)O)c2)n1C,0.00905,,
Cc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCn4cccc4C3)c(C)n2C)c(N2CCCC2)n1,0.157,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2nnc3n2CCC3)n1C,17.7,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCC(C)(O)C2)n1C,0.0225,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccc3c2CCN(C)C3)n1C,0.185,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1CC(C)O,0.0345,,
Cc1c(S(=O)(=O)N2CCn3ccnc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,15.3,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CC(O)C(F)(F)C2)n1C,0.00918,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CC(O)C(F)(F)C2)n1C,0.0335,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccc3cnn(C4CC4)c23)n1C,0.00146,12.7,1.6
Cc1c(S(=O)(=O)N2CCc3ccccc3C2)cc(-c2nc(-c3ccccc3)n[nH]2)n1C,62.5,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CC(O)C2)n1C,0.00253,11,3.6
Cc1c(S(=O)(=O)N2Cc3ccc(C#N)cc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,1.22,,
Cc1c(S(=O)(=O)N2Cc3ccc(C#N)cc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,1.37,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C1CC1,0.00964,,
Cc1c(S(=O)(=O)N2CCn3cncc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,0.00488,,
Cc1c(S(=O)(=O)N2CCn3cncc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,0.00732,10.5,4.7
Cc1c(S(=O)(=O)N2Cc3c[nH]nc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,0.0248,,
Cc1c(S(=O)(=O)N2Cc3c[nH]nc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,0.0589,,
Cc1c(S(=O)(=O)N2CCn3ccnc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,4.7,,
Cc1c(S(=O)(=O)N2Cc3cnn(C)c3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,0.0411,,
Cc1c(S(=O)(=O)N2Cc3cnn(C)c3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,0.16,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,0.0144,,
Cc1c(S(=O)(=O)N2CCn3cccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C(C)C,8.22,,
Cc1c(S(=O)(=O)N2CCc3ncncc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,0.195,,
Cc1c(S(=O)(=O)N2CCc3ncncc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,0.249,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CC(F)(F)C2)n1C,0.0249,,
"Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2C[C@@H](O)[C@@H](F)C2)n1C |a:29,31|",0.0154,,
COC1CN(c2ncccc2CNC(=O)c2cc(S(=O)(=O)N3CCn4nccc4C3)c(C)n2C)C1,0.0118,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCCOCC2)n1C,0.0553,,
CCOc1nccc(CNC(=O)c2cc(S(=O)(=O)N3Cc4ccccc4C3)c(C)n2C)c1N1CCCC1,0.0344,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cc(F)cnc2N2CCCC2)n1C,0.0448,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NC(C)c2cccnc2N2CCC(F)(F)C2)n1C,0.28,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CC(O)C2)n1C,0.0182,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CC(C)(O)C2)n1C,0.0262,,
Cc1sc(C(=O)NCc2cccnc2N2CCC(O)C2)cc1S(=O)(=O)N1CCn2nccc2C1,0.0576,,
Cc1sc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)cc1S(=O)(=O)N1CCn2nccc2C1,0.0771,,
Cc1c(S(=O)(=O)N2CCn3c(cc4ccccc43)C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1C,62.5,,
Cc1sc(C(=O)NCc2cccnc2N2CCCC2)cc1S(=O)(=O)N1CCC(C)CC1,0.0633,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cncnc2N2CCC(O)C2)n1C,0.00604,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2cccc3c2OC(F)(F)O3)n1C,0.264,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cncnc2N2CCC(F)(F)C2)n1C,0.00599,,
Cc1c(S(=O)(=O)N2CCc3cc(C#N)ccc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1C,1.87,,
Cc1c(S(=O)(=O)N2CCc3cc(C#N)ccc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1C,0.64,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CC(F)(F)C(F)(F)C2)n1C,0.274,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCCC2)n1CCO,0.0052,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCC(F)(F)C2)n1CCO,0.0253,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2cccnc2N2CCC(O)C2)n1CCO,0.0143,,
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2c(F)ccc3occc23)n1C,0.00108,12.5,1.7
Cc1c(S(=O)(=O)N2CCn3nccc3C2)cc(C(=O)NCc2c(F)ccc3occc23)n1CCO,0.00369,10.4,3.6
C/C=C(\NC(=O)c1cc(S(=O)(=O)N2CCn3nccc3C2)c(C)n1C)c1cccnc1N1CCC(F)(F)C1,3.01,,
